student_id,library_visits_per_month,caffeine_consumption_mg_per_day
S1200,15,91
S1201,15,90
S1202,0,83
S1203,8,66
S1204,5,214
S1205,15,202
S1206,2,125
S1207,19,136
S1208,3,166
S1209,18,391
S1210,2,76
S1211,18,362
S1212,19,336
S1213,6,183
S1214,19,268
S1215,8,217
S1216,0,147
S1217,7,317
S1218,6,286
S1219,17,358
S1220,7,222
S1221,0,239
S1222,10,171
S1223,17,95
S1224,9,113
S1225,2,179
S1226,6,359
S1227,15,242
S1228,15,356
S1229,19,230
S1230,16,341
S1231,1,331
S1232,0,78
S1233,15,198
S1234,11,316
S1235,4,345
S1236,4,60
S1237,8,213
S1238,8,162
S1239,2,236
S1240,18,344
S1241,15,281
S1242,15,276
S1243,2,359
S1244,19,147
S1245,0,104
S1246,19,160
S1247,10,201
S1248,16,295
S1249,7,118
S1250,3,361
S1251,5,338
S1252,7,299
S1253,19,85
S1254,2,288
S1255,15,197
S1256,2,276
S1257,17,293
S1258,13,386
S1259,17,250
S1260,1,203
S1261,2,122
S1262,15,250
S1263,8,345
S1264,3,66
S1265,0,178
S1266,3,266
S1267,0,110
S1268,13,153
S1269,20,91
S1270,15,74
S1271,19,88
S1272,7,340
S1273,6,180
S1274,2,278
S1275,16,157
S1276,0,221
S1277,15,151
S1278,11,61
S1279,18,324
S1280,13,150
S1281,5,93
S1282,5,354
S1283,12,66
S1284,18,379
S1285,7,106
S1286,1,360
S1287,20,352
S1288,0,61
S1289,14,367
S1290,0,129
S1291,4,265
S1292,15,388
S1293,18,313
S1294,3,198
S1295,2,130
S1296,16,264
S1297,16,247
S1298,11,249
S1299,13,74
S1300,20,138
S1301,5,317
S1302,2,192
S1303,8,108
S1304,4,75
S1305,16,96
S1306,13,337
S1307,20,315
S1308,2,65
S1309,0,248
S1310,19,331
S1311,20,135
S1312,0,299
S1313,2,319
S1314,17,384
S1315,9,166
S1316,2,56
S1317,7,186
S1318,13,225
S1319,17,377
S1320,14,364
S1321,1,264
S1322,9,131
S1323,1,272
S1324,16,152
S1325,7,322
S1326,0,63
S1327,8,208
S1328,10,201
S1329,15,157
S1330,6,237
S1331,9,350
S1332,2,147
S1333,17,180
S1334,12,342
S1335,6,220
S1336,3,232
S1337,12,88
S1338,19,64
S1339,0,53
S1340,7,398
S1341,13,259
S1342,15,210
S1343,13,65
S1344,11,157
S1345,18,360
S1346,14,276
S1347,1,219
S1348,1,83
S1349,18,300
S1350,16,296
S1351,19,318
S1352,9,190
S1353,5,323
S1354,14,145
S1355,10,276
S1356,4,88
S1357,0,351
S1358,7,78
S1359,20,367
S1360,11,294
S1361,11,285
S1362,4,234
S1363,6,321
S1364,3,285
S1365,5,288
S1366,12,315
S1367,19,389
S1368,14,114
S1369,2,226
S1370,7,52
S1371,19,191
S1372,15,207
S1373,12,373
S1374,17,195
S1375,9,342
S1376,18,202
S1377,16,242
S1378,18,122
S1379,4,354
S1380,20,393
S1381,8,189
S1382,11,236
S1383,20,342
S1384,0,110
S1385,0,247
S1386,14,344
S1387,1,368
S1388,15,351
S1389,7,393
S1390,12,60
S1391,20,111
S1392,0,382
S1393,15,275
S1394,6,202
S1395,4,248
S1396,2,101
S1397,11,309
S1398,15,108
S1399,18,121
S1400,4,197
S1401,13,398
S1402,4,112
S1403,14,359
S1404,16,292
S1405,13,379
S1406,19,156
S1407,4,275
S1408,11,362
S1409,15,267
S1410,15,290
S1411,20,308
S1412,6,311
S1413,3,54
S1414,0,310
S1415,4,103
S1416,9,96
S1417,4,264
S1418,3,226
S1419,1,58
S1420,19,148
S1421,9,69
S1422,18,290
S1423,0,110
S1424,4,227
S1425,12,387
S1426,3,111
S1427,15,194
S1428,15,265
S1429,1,52
S1430,16,209
S1431,19,276
S1432,11,318
S1433,17,169
S1434,2,138
S1435,0,378
S1436,0,117
S1437,18,147
S1438,10,316
S1439,4,154
S1440,11,372
S1441,2,172
S1442,0,78
S1443,0,186
S1444,7,244
S1445,9,275
S1446,10,381
S1447,11,219
S1448,12,58
S1449,11,89
S1450,13,74
S1451,1,310
S1452,18,275
S1453,17,173
S1454,2,87
S1455,16,377
S1456,7,300
S1457,9,225
S1458,1,139
S1459,18,86
S1460,8,365
S1461,6,225
S1462,3,333
S1463,20,130
S1464,17,163
S1465,12,89
S1466,10,350
S1467,3,273
S1468,20,367
S1469,3,398
S1470,9,164
S1471,4,235
S1472,8,372
S1473,2,105
S1474,16,89
S1475,2,89
S1476,15,396
S1477,3,286
S1478,17,338
S1479,16,311
S1480,6,265
S1481,4,196
S1482,11,385
S1483,16,217
S1484,12,141
S1485,2,108
S1486,8,108
S1487,16,353
S1488,16,218
S1489,19,318
S1490,15,94
S1491,12,394
S1492,18,230
S1493,16,219
S1494,3,240
S1495,11,204
S1496,8,237
S1497,18,56
S1498,11,182
S1499,8,284
S1500,6,94
S1501,13,363
S1502,19,298
S1503,18,80
S1504,14,72
S1505,15,209
S1506,20,207
S1507,4,88
S1508,2,131
S1509,11,307
S1510,19,255
S1511,20,126
S1512,3,61
S1513,20,344
S1514,15,273
S1515,6,62
S1516,12,95
S1517,20,204
S1518,9,162
S1519,6,282
S1520,13,66
S1521,4,272
S1522,2,237
S1523,10,393
S1524,10,212
S1525,17,375
S1526,14,123
S1527,11,282
S1528,8,273
S1529,9,368
S1530,11,109
S1531,16,384
S1532,5,271
S1533,6,86
S1534,13,327
S1535,12,245
S1536,7,291
S1537,9,373
S1538,8,268
S1539,17,241
S1540,1,66
S1541,4,61
S1542,4,242
S1543,5,71
S1544,18,169
S1545,7,259
S1546,15,355
S1547,12,319
S1548,0,241
S1549,19,224
S1550,16,334
S1551,6,253
S1552,12,213
S1553,3,300
S1554,3,276
S1555,5,56
S1556,18,78
S1557,11,82
S1558,6,183
S1559,9,128
S1560,18,107
S1561,6,75
S1562,2,275
S1563,12,334
S1564,12,53
S1565,17,148
S1566,19,88
S1567,7,320
S1568,8,334
S1569,6,206
S1570,0,124
S1571,2,337
S1572,12,179
S1573,16,224
S1574,0,133
S1575,5,71
S1576,20,76
S1577,5,244
S1578,11,386
S1579,12,285
S1580,12,141
S1581,14,70
S1582,20,352
S1583,15,133
S1584,20,311
S1585,10,196
S1586,4,306
S1587,3,107
S1588,2,64
S1589,18,211
S1590,19,212
S1591,17,369
S1592,14,330
S1593,8,329
S1594,16,61
S1595,13,323
S1596,14,320
S1597,0,257
S1598,20,76
S1599,2,121
S1600,15,109
S1601,10,194
S1602,11,142
S1603,9,358
S1604,15,57
S1605,7,128
S1606,5,76
S1607,11,223
S1608,20,99
S1609,7,248
S1610,3,398
S1611,7,230
S1612,17,73
S1613,4,365
S1614,8,95
S1615,3,64
S1616,16,202
S1617,8,271
S1618,0,255
S1619,20,322
S1620,19,285
S1621,12,389
S1622,15,277
S1623,12,58
S1624,13,215
S1625,2,368
S1626,5,263
S1627,17,166
S1628,18,393
S1629,4,121
S1630,14,113
S1631,1,254
S1632,9,258
S1633,17,121
S1634,12,326
S1635,4,323
S1636,0,369
S1637,0,387
S1638,17,144
S1639,14,215
S1640,16,81
S1641,10,60
S1642,20,350
S1643,16,266
S1644,12,338
S1645,0,151
S1646,1,316
S1647,8,263
S1648,2,228
S1649,0,137
S1650,20,90
S1651,15,125
S1652,5,95
S1653,16,209
S1654,4,129
S1655,4,359
S1656,5,135
S1657,2,141
S1658,20,197
S1659,4,210
S1660,20,251
S1661,4,291
S1662,9,51
S1663,9,274
S1664,18,338
S1665,16,282
S1666,20,126
S1667,13,165
S1668,8,203
S1669,13,152
S1670,0,243
S1671,18,215
S1672,12,139
S1673,12,223
S1674,3,171
S1675,0,192
S1676,16,155
S1677,7,354
S1678,1,366
S1679,7,172
S1680,6,58
S1681,1,311
S1682,2,122
S1683,17,272
S1684,11,90
S1685,0,253
S1686,11,313
S1687,4,377
S1688,16,227
S1689,15,397
S1690,14,367
S1691,14,133
S1692,4,367
S1693,20,160
S1694,13,300
S1695,1,56
S1696,10,133
S1697,18,257
S1698,6,363
S1699,5,71
S1700,1,52
S1701,5,176
S1702,17,346
S1703,1,237
S1704,17,63
S1705,14,61
S1706,18,136
S1707,1,61
S1708,19,74
S1709,5,350
S1710,0,292
S1711,14,171
S1712,9,196
S1713,18,104
S1714,16,287
S1715,4,222
S1716,3,270
S1717,9,168
S1718,16,358
S1719,9,232
S1720,16,337
S1721,19,356
S1722,4,349
S1723,1,131
S1724,5,260
S1725,20,199
S1726,1,86
S1727,12,361
S1728,10,108
S1729,10,180
S1730,15,251
S1731,10,292
S1732,18,84
S1733,14,142
S1734,15,256
S1735,10,381
S1736,15,354
S1737,7,399
S1738,3,262
S1739,7,208
S1740,3,73
S1741,2,342
S1742,2,53
S1743,17,269
S1744,18,69
S1745,18,201
S1746,20,99
S1747,4,226
S1748,17,145
S1749,9,154
S1750,20,299
S1751,5,166
S1752,0,277
S1753,4,115
S1754,8,384
S1755,11,311
S1756,13,344
S1757,1,292
S1758,16,235
S1759,13,295
S1760,12,174
S1761,8,317
S1762,14,180
S1763,14,286
S1764,10,67
S1765,15,89
S1766,16,70
S1767,3,274
S1768,0,331
S1769,7,57
S1770,16,149
S1771,2,289
S1772,19,136
S1773,14,347
S1774,14,63
S1775,13,383
S1776,13,51
S1777,1,342
S1778,12,374
S1779,13,90
S1780,18,367
S1781,6,365
S1782,2,160
S1783,14,63
S1784,13,280
S1785,10,133
S1786,14,179
S1787,12,280
S1788,17,375
S1789,5,194
S1790,2,394
S1791,18,77
S1792,14,115
S1793,4,212
S1794,9,278
S1795,6,310
S1796,16,213
S1797,6,350
S1798,11,352
S1799,16,336
S1800,12,59
S1801,19,244
S1802,3,167
S1803,9,319
S1804,2,129
S1805,8,142
S1806,12,315
S1807,17,381
S1808,14,399
S1809,3,306
S1810,14,182
S1811,1,325
S1812,14,313
S1813,7,220
S1814,7,50
S1815,16,362
S1816,11,113
S1817,18,333
S1818,9,170
S1819,8,156
S1820,4,224
S1821,5,253
S1822,19,214
S1823,1,354
S1824,12,169
S1825,5,93
S1826,4,361
S1827,0,205
S1828,20,256
S1829,20,157
S1830,5,300
S1831,5,383
S1832,15,179
S1833,3,342
S1834,10,69
S1835,8,331
S1836,2,334
S1837,18,50
S1838,7,168
S1839,4,84
S1840,3,247
S1841,5,294
S1842,1,108
S1843,19,374
S1844,10,210
S1845,3,228
S1846,14,255
S1847,5,61
S1848,16,325
S1849,5,230
S1850,18,291
S1851,1,265
S1852,14,300
S1853,10,348
S1854,7,175
S1855,18,266
S1856,12,355
S1857,11,334
S1858,4,234
S1859,5,88
S1860,3,272
S1861,18,233
S1862,19,227
S1863,0,343
S1864,19,389
S1865,16,200
S1866,11,175
S1867,14,350
S1868,0,357
S1869,13,385
S1870,5,283
S1871,4,57
S1872,10,390
S1873,3,178
S1874,12,313
S1875,10,206
S1876,2,54
S1877,0,135
S1878,5,224
S1879,17,339
S1880,9,242
S1881,4,360
S1882,9,168
S1883,11,267
S1884,1,163
S1885,12,194
S1886,7,75
S1887,1,185
S1888,19,352
S1889,0,281
S1890,4,125
S1891,8,377
S1892,16,394
S1893,8,351
S1894,10,338
S1895,14,50
S1896,5,196
S1897,2,336
S1898,16,191
S1899,4,102
S1900,11,353
S1901,17,118
S1902,13,139
S1903,20,269
S1904,10,241
S1905,8,112
S1906,1,122
S1907,11,210
S1908,2,218
S1909,2,138
S1910,0,225
S1911,7,318
S1912,7,122
S1913,10,294
S1914,8,126
S1915,4,208
S1916,13,373
S1917,2,147
S1918,20,151
S1919,4,181
S1920,4,151
S1921,18,68
S1922,13,131
S1923,3,328
S1924,12,388
S1925,9,380
S1926,17,178
S1927,7,393
S1928,7,359
S1929,6,138
S1930,7,262
S1931,13,192
S1932,18,114
S1933,5,125
S1934,0,248
S1935,14,192
S1936,0,365
S1937,16,142
S1938,0,354
S1939,14,273
S1940,1,340
S1941,13,151
S1942,20,316
S1943,7,159
S1944,7,379
S1945,18,314
S1946,6,52
S1947,18,134
S1948,5,331
S1949,5,377
S1950,2,353
S1951,6,166
S1952,18,270
S1953,7,203
S1954,9,202
S1955,19,61
S1956,14,182
S1957,14,353
S1958,0,342
S1959,19,349
S1960,6,277
S1961,3,320
S1962,5,92
S1963,0,392
S1964,4,375
S1965,0,351
S1966,3,70
S1967,1,156
S1968,9,385
S1969,4,352
S1970,9,166
S1971,0,173
S1972,5,330
S1973,12,341
S1974,14,252
S1975,3,100
S1976,12,320
S1977,19,373
S1978,14,326
S1979,7,190
S1980,4,324
S1981,14,339
S1982,3,383
S1983,11,101
S1984,12,76
S1985,1,206
S1986,18,288
S1987,18,205
S1988,3,340
S1989,3,185
S1990,10,193
S1991,4,155
S1992,19,207
S1993,10,195
S1994,9,51
S1995,7,126
S1996,5,181
S1997,5,139
S1998,7,394
S1999,14,399
